state,overall grade,sex ed requirement grade,content grade
alabama,c-,c,d+
alaska,d,d,d
arizona,f,f ,f
arkasas,f,f ,f
california,a-,a,b+
colorado,b,d,b+
connecticut,d-,c,d-
delaware,c,a,d+
florida,f,b,f
georgia,d+,a,f
hawaii,b-,a,c 
idaho,f,d,f
illinois,a-,c,a-
indiana,f,f ,f
iowa,c-,a,d+
kansas,d+,a,f
kentucky,d+,f ,d+
louisina,f,c,f
maine,b-,a,c+
maryland,b,a,b-
massachusetts,d-,d,d-
michigan,d-,c,d-
minnesota,c-,b,d+
mississipi,f,c,f
missouri,c,c,c+
montana,d,b,f
nebraska,f,d,f
nevada,b+,c,b+
new hamphire,d+,b,b
new jersey,a-,b,b+
new mexico,c-,b,d+
new york,d,c,d-
north carolina,c,b,c-
north dakota,d-,b,f
ohio,f,d,f
oklhaoma,f,c,f
oregon,a,a,a-
pennsylvania,d+,c,d
rhode island,a-,a,b
south carolina,c-,a,d-
south dakota,f,d,f
tennesee,c-,c,d+
texas,c-,d,c-
utah,f,d,f
vermont,b,a,b-
virginia,c-,d,c
washington,a,a,a-
west virginia,c-,b,d+
wisconsin,c,b,c
wyoming,f,f ,d-
