Rank,State,Cases,Rate_per_100k
1,South Dakota,54,482.1
2,New Mexico,91,421.0
3,Mississippi,131,377.8
4,Arizona,233,296.6
5,Texas,930,238.6
6,Nevada,77,232.0
7,Louisiana,109,193.0
8,Arkansas,64,180.4
9,Montana,19,170.0
10,Oklahoma,79,163.5
11,Missouri,94,136.3
12,Hawaii,21,135.2
13,California,512,122.2
14,Tennessee,88,107.0
15,Alaska,10,106.8
16,West Virginia,18,106.3
17,Florida,235,104.7
18,Georgia,127,100.7
19,Maryland,69,100.3
20,Kentucky,47,89.8
21,Colorado,51,81.8
22,Illinois,100,77.9
23,Oregon,30,76.0
24,Alabama,41,70.5
25,Washington,57,68.4
26,Indiana,50,62.8
27,North Carolina,72,59.2
28,Ohio,74,57.7
29,Nebraska,14,57.5
30,Michigan,55,53.8
31,South Carolina,30,51.9
32,Delaware,5,46.2
33,Minnesota,29,45.3
34,Kansas,15,43.6
35,New Jersey,43,41.8
36,Wisconsin,25,41.6
37,Utah,16,35.0
38,Wyoming,2,33.1
39,Iowa,12,32.9
40,New York,67,32.2
41,Pennsylvania,37,28.4
42,Virginia,21,22.0
43,North Dakota,2,20.9
44,Massachusetts,14,20.4
45,Rhode Island,2,19.5
46,Maine,2,16.5
47,New Hampshire,1,8.3
48,Connecticut,2,5.7
