Rank,State,Cases,Rate_per_100k
1,Alaska,2280,310.9
2,Louisiana,13192,288.4
3,Georgia,30307,274.8
4,South Dakota,2329,253.3
5,Mississippi,7382,251.1
6,North Carolina,26353,243.2
7,New York,46102,235.6
8,Alabama,11592,226.9
9,South Carolina,11950,222.4
10,Maryland,12802,207.1
11,Florida,46726,206.7
12,Nevada,6538,204.7
13,Illinois,25387,202.3
14,Missouri,12513,201.9
15,Arkansas,5932,193.4
16,Arizona,14172,190.7
17,California,74103,190.2
18,Tennessee,13286,186.4
19,Texas,53793,176.4
20,Oklahoma,6905,170.3
21,New Mexico,3574,169.0
22,Ohio,19795,168.0
23,Virginia,13795,158.3
24,Rhode Island,1672,152.6
25,Michigan,15274,152.2
26,Delaware,1567,151.9
27,North Dakota,1154,147.2
28,Pennsylvania,18758,144.7
29,Indiana,9881,144.0
30,Kansas,4234,144.0
31,Massachusetts,9786,139.8
32,Minnesota,7717,134.5
33,Kentucky,6081,134.4
34,Washington,10129,129.6
35,Colorado,7563,128.7
36,Hawaii,1818,126.7
37,Wisconsin,7007,118.5
38,Oregon,4960,117.2
39,Iowa,3747,116.8
40,Nebraska,2285,115.5
41,Connecticut,4098,113.3
42,New Jersey,10134,109.1
43,Utah,2664,77.9
44,Montana,767,67.7
45,West Virginia,968,54.7
46,Maine,620,44.4
47,Wyoming,247,42.3
48,New Hampshire,588,41.9
49,Idaho,778,39.6
50,Vermont,220,34.0
