Rank,State,Cases,Rate_per_100k
1,South Dakota,675,73.4
2,New Mexico,773,36.6
3,Mississippi,886,30.1
4,Arkansas,896,29.2
5,Alabama,1460,28.6
6,Oklahoma,1121,27.7
7,Montana,312,27.5
8,Louisiana,1196,26.1
9,Arizona,1793,24.1
10,Nevada,725,22.7
11,Alaska,165,22.5
12,Missouri,1332,21.5
13,Washington,1665,21.3
14,Georgia,2210,20.0
15,North Carolina,2159,19.9
16,Florida,4366,19.3
17,Oregon,811,19.2
18,Delaware,180,17.4
19,South Carolina,927,17.3
20,Ohio,1925,16.3
21,California,6348,16.3
22,Colorado,938,16.0
23,Texas,4562,15.0
24,Tennessee,1055,14.8
25,New York,2887,14.8
26,Maryland,878,14.2
27,Kentucky,638,14.1
28,Kansas,397,13.5
29,Hawaii,182,12.7
30,North Dakota,97,12.4
31,Illinois,1457,11.6
32,West Virginia,193,10.9
33,Virginia,932,10.7
34,Massachusetts,739,10.6
35,Nebraska,205,10.4
36,Iowa,331,10.3
37,Utah,330,9.7
38,Wisconsin,540,9.1
39,Pennsylvania,1179,9.1
40,Minnesota,502,8.7
41,Indiana,599,8.7
42,Michigan,845,8.4
43,Rhode Island,90,8.2
44,New Jersey,751,8.1
45,Connecticut,265,7.3
46,Maine,74,5.3
47,New Hampshire,55,3.9
48,Idaho,74,3.8
49,Wyoming,13,2.2
50,Vermont,3,0.5
